Model,Features,New Price,Original Price,Found date time,Link,Data Id
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Midnight Silver Metallic Paint # 18’’ Aero Wheels # All Black Premium Interior,"$44,880","$47,240","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_84a070508ac98be0a70168d9da4705c0,230_84a070508ac98be0a70168d9da4705c0
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Midnight Silver Metallic Paint # 19’’ Sport Wheels # Black and White Premium Interior,"$45,760","$49,740","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_6e45e8296b49232d2dae976c86a85bc7,230_6e45e8296b49232d2dae976c86a85bc7
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Midnight Silver Metallic Paint # 18’’ Aero Wheels # All Black Premium Interior,"$45,820","$47,240","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_5baeefce0b67f3c5b44050af60c3027c,230_5baeefce0b67f3c5b44050af60c3027c
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Midnight Silver Metallic Paint # 18’’ Aero Wheels # Black and White Premium Interior,"$45,830","$48,240","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_342bc2d1e22e578621ba72e89dedc5a4,230_342bc2d1e22e578621ba72e89dedc5a4
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Pearl White Paint # 18’’ Aero Wheels # All Black Premium Interior,"$45,830","$48,240","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_c81371e9084a3e8c4dc7d43ea6f4baf7,230_c81371e9084a3e8c4dc7d43ea6f4baf7
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Deep Blue Metallic Paint # 18’’ Aero Wheels # All Black Premium Interior,"$45,830","$48,240","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_f09f2ba0b3d886b06efc857efa87464c,230_f09f2ba0b3d886b06efc857efa87464c
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Solid Black Paint # 18’’ Aero Wheels # Black and White Premium Interior,"$46,260","$49,740","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_773e9523aa276883543e2bec5021f411,230_773e9523aa276883543e2bec5021f411
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Midnight Silver Metallic Paint # 19’’ Sport Wheels # All Black Premium Interior,"$46,300","$48,740","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_3e2d8a03068a3c4ce8b966bd21e721ad,230_3e2d8a03068a3c4ce8b966bd21e721ad
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Solid Black Paint # 18’’ Aero Wheels # All Black Premium Interior,"$46,300","$48,740","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_4a0fb7bace02f63814cf9fd4ed717571,230_4a0fb7bace02f63814cf9fd4ed717571
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Deep Blue Metallic Paint # 19’’ Sport Wheels # Black and White Premium Interior,"$46,680","$50,740","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_c82f8ceb27bf2121913a0b407f5f0ef5,230_c82f8ceb27bf2121913a0b407f5f0ef5
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Solid Black Paint # 19’’ Sport Wheels # All Black Premium Interior,"$46,720","$50,240","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_4e61e6a64d42696ecf3833231d02e2c5,230_4e61e6a64d42696ecf3833231d02e2c5
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Deep Blue Metallic Paint # 18’’ Aero Wheels # Black and White Premium Interior,"$46,780","$49,240","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_b25ee1b1cfbb916e4cb32c6c82adaf33,230_b25ee1b1cfbb916e4cb32c6c82adaf33
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Red Multi-Coat Paint # 18’’ Aero Wheels # All Black Premium Interior,"$46,780","$49,240","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_b919b2c2e505226d8923ccac58d77eaa,230_b919b2c2e505226d8923ccac58d77eaa
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Pearl White Paint # 18’’ Aero Wheels # All Black Premium Interior,"$46,790","$48,240","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_324f2d7819ac23a1b6b1b4102a5bfd66,230_324f2d7819ac23a1b6b1b4102a5bfd66
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Deep Blue Metallic Paint # 18’’ Aero Wheels # All Black Premium Interior,"$46,790","$48,240","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_7c27fb376423ac79972f0b0a66ff6e8d,230_7c27fb376423ac79972f0b0a66ff6e8d
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Red Multi-Coat Paint # 19’’ Sport Wheels # All Black Premium Interior,"$47,190","$50,740","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_68332eac369614070edfc82dedf8ceba,230_68332eac369614070edfc82dedf8ceba
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Deep Blue Metallic Paint # 19’’ Sport Wheels # All Black Premium Interior,"$47,250","$49,740","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_3830df7c60f80cdb7325a4b592f133d7,230_3830df7c60f80cdb7325a4b592f133d7
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Solid Black Paint # 18’’ Aero Wheels # Black and White Premium Interior,"$47,250","$49,740","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_494ff84562de0151f525cfb0a75827af,230_494ff84562de0151f525cfb0a75827af
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Midnight Silver Metallic Paint # 19’’ Sport Wheels # Black and White Premium Interior,"$47,250","$49,740","08/13/2023, 00:04:06",https://www.tesla.com/m3/order/5YJ3230_5871c84aca66077c013289e882f18014,230_5871c84aca66077c013289e882f18014
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Pearl White Paint # 19’’ Sport Wheels # All Black Premium Interior,"$47,250","$49,740","08/13/2023, 00:04:07",https://www.tesla.com/m3/order/5YJ3230_866f0e5ef3a00e4823491ee638cbefc4,230_866f0e5ef3a00e4823491ee638cbefc4
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Solid Black Paint # 18’’ Aero Wheels # All Black Premium Interior,"$47,280","$48,740","08/13/2023, 00:04:07",https://www.tesla.com/m3/order/5YJ3230_0135a2a3d39162998b1387a2da6b257f,230_0135a2a3d39162998b1387a2da6b257f
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Red Multi-Coat Paint # 19’’ Sport Wheels # Black and White Premium Interior,"$47,600","$51,740","08/13/2023, 00:04:07",https://www.tesla.com/m3/order/5YJ3230_fbaf1a3095ed98553948669188dadcbc,230_fbaf1a3095ed98553948669188dadcbc
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Red Multi-Coat Paint # 19’’ Sport Wheels # All Black Premium Interior,"$47,700","$50,740","08/13/2023, 00:04:07",https://www.tesla.com/m3/order/5YJ3230_7f1c072b801db3941f3bdf657d282987,230_7f1c072b801db3941f3bdf657d282987
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Solid Black Paint # 19’’ Sport Wheels # All Black Premium Interior,"$47,730","$50,240","08/13/2023, 00:04:07",https://www.tesla.com/m3/order/5YJ3230_11748ebe395e34f5594a3aca5d0ab4ba,230_11748ebe395e34f5594a3aca5d0ab4ba
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Red Multi-Coat Paint # 18’’ Aero Wheels # Black and White Premium Interior,"$47,730","$50,240","08/13/2023, 00:04:07",https://www.tesla.com/m3/order/5YJ3230_6809a835262af04c89bc39370646a86a,230_6809a835262af04c89bc39370646a86a
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Red Multi-Coat Paint # 18’’ Aero Wheels # All Black Premium Interior,"$47,760","$49,240","08/13/2023, 00:04:07",https://www.tesla.com/m3/order/5YJ3230_c8d891897d1723c3ab0a4b4278e4d29e,230_c8d891897d1723c3ab0a4b4278e4d29e
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Red Multi-Coat Paint # 19’’ Sport Wheels # Black and White Premium Interior,"$48,120","$51,740","08/13/2023, 00:04:07",https://www.tesla.com/m3/order/5YJ3230_477d95027703dfe1a67e6c8a07811c1b,230_477d95027703dfe1a67e6c8a07811c1b
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Pearl White Paint # 19’’ Sport Wheels # Black and White Premium Interior,"$48,200","$50,740","08/13/2023, 00:04:07",https://www.tesla.com/m3/order/5YJ3230_1c2305e2c9c72216d911fe85c1776ea8,230_1c2305e2c9c72216d911fe85c1776ea8
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Red Multi-Coat Paint # 19’’ Sport Wheels # All Black Premium Interior,"$48,200","$50,740","08/13/2023, 00:04:07",https://www.tesla.com/m3/order/5YJ3230_372a6e3426982b3c7a632cbc0b5e3a8c,230_372a6e3426982b3c7a632cbc0b5e3a8c
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Deep Blue Metallic Paint # 19’’ Sport Wheels # Black and White Premium Interior,"$48,200","$50,740","08/13/2023, 00:04:07",https://www.tesla.com/m3/order/5YJ3230_415139f5d64050610d95304151da7787,230_415139f5d64050610d95304151da7787
Model 3 Long Range Dual Motor All-Wheel Drive,Autopilot # 30-Day Premium Connectivity Trial # Red Multi-Coat Paint # 19’’ Sport Wheels # Black and White Premium Interior,"$49,150","$51,740","08/13/2023, 00:04:07",https://www.tesla.com/m3/order/5YJ3230_fc4b8451bf93573363b4a710f9662024,230_fc4b8451bf93573363b4a710f9662024
